name1,name2,type,score,admin,links,unlinks
twin room,"twin room, 2 twin beds",match,1963,1000,7,44
queen room with two queen beds,2 queen beds non-smoking,match,1004,1000,10,6
standard room with twin beds non refundable,twin room,match,999,1000,5,6
double room,room 1 double bed non smoking fullbed*,match,997,1000,5,8
"traditional room, 2 queen beds",queen room with two queen beds,match,995,1000,1,6
double room,"standard double room, 1 queen bed",match,994,1000,6,12
standard double or twin,double room,match,991,1000,2,11
twin room,"habitación, 2 camas individuales",match,981,1000,7,26
classic triple room,habitación triple clásica,match,968,1000,7,39
grand suite,suite grand,match,957,1000,1,44
standard double room (full double bed),double room,match,936,1000,87,151
double standard (non-refundable),double room,match,13,0,86,73
"habitación doble, no fumadores",double room,match,8,0,33,25
double room,standard double/twin room,match,8,0,22,14
double bed room,double room,match,8,0,16,8
queen room with two queen beds,room 2 queen beds,match,6,0,29,23
superior double room,double superior - non refunduble,match,6,0,16,10
deluxe queen,deluxe room 1 queen bed,match,6,0,12,6
double classic,classic room bb,match,5,0,15,10
economy double or twin room,twin economy,match,5,0,14,9
room + room,double standard,match,5,0,14,9
double deluxe king,deluxe king room,match,5,0,12,7
triple standard - non refunduble,triple room,match,4,0,34,30
queen room with two queen beds,2 queen beds nonsmoking,match,4,0,19,15
habitación superior (1 fullbed),habitación superior (1 fullbed) - package rate,match,4,0,10,6
double or twin,classic double or twin room,match,4,0,10,6
"deluxe room, 1 queen bed",deluxe double room,match,3,0,20,17
double or twin sea view,sea view room,match,-6,0,15,21
standard room pool view,double pool view,match,-6,0,6,12
twin room,standard room.,match,-6,0,5,11
habitacion doble (2 camas) - classic,habitacion doble (cama doble) - classic,match,-6,0,4,10
twin room,standard room ( no breakfast ),match,-6,0,4,10
standard room non-refundable,standard room - room only,match,-6,0,4,10
"guest room, 2 queen","habitación, 2 camas de matrimonio, no fumadores",match,-6,0,4,10
1 x double comfort special deal non refundable,double room,match,-6,0,2,8
room ( none ),double room,match,-6,0,2,8
superior double or twin room (1 queenbed),superior room,match,-6,0,2,8
standard double room (full double bed) (king size bed),king size bed,match,-6,0,2,8
double two double beds,classic two double,match,-6,0,1,7
double room,deluxe ocean view,match,-6,0,1,7
habitación doble - room only,twin room,match,-6,0,1,7
double standard dbl,standard room,match,-6,0,1,7
superior double room with sea view,superior double room with side sea view,match,-6,0,1,7
premium queen room with bunk,premium queen room,match,-6,0,1,7
classic double room - handicap accessible,classic queen room,match,-6,0,1,7
"2 twin beds standard room, 2 twin beds, non smoking bed type can not be guaranteed","habitación estándar, 2 camas individuales, no fumadores",match,-6,0,1,7
deluxe twin room,double or twin grand deluxe,match,-6,0,1,7
queen room with two queen beds,queen room with two queen beds - non-refundable,match,-6,0,1,7
select 2 queens,2 beds full size (2 pax),match,-6,0,1,7
room economy,economy double room (double bed),match,-6,0,1,7
penthouse three-bedroom suite,superior studio,match,-6,0,0,6
habitación twin superior (2 individual(es) y 1 bebé(s) en camas existentes),suíte,match,-6,0,0,6
habitación doble estándar (1 doble(s) or 2 individual(es)),habitaciã³n doble superior,match,-6,0,0,6
double or twin deluxe - non refunduble,room superior,match,-6,0,0,6
room,1 doble uso individual standard,match,-6,0,0,6
habitación superior con vista al mar (2 doble(s)),habitaciã³n estã¡ndar con vista al jardã­n,match,-6,0,0,6
superior double or twin room,double premium - non refunduble,match,-6,0,0,6
classic room,classic single room (full double bed),match,-6,0,0,6
classic single room (full double bed),double single use classic non refundable,match,-6,0,0,6
double single use classic non refundable,classic single room (full double bed),match,-6,0,0,6
superior room : accommodation only non refundable,superior room (extra bed 2 adults + 1 child) (3 twin beds/1 double bed and 1 twin bed) non refundable,match,-6,0,0,6
sea view executive deluxe suite king size bed,sea view premier club room king bed,match,-6,0,0,6
small only bed,"standard double (for 2 adults, 0 children and 0 infants)",match,-6,0,0,6
1 x premium room,not refundable.1 x junior suite,match,-6,0,0,6
classic twin room,classic room  double/twin bed,match,-6,0,0,6
economy room  double/twin bed non refundable,base category room  double/twin bed non refundable,match,-6,0,0,6
"room, 2 queen beds, accessible, 2 queen beds","room, 2 queen beds, city view, 2 queen beds",match,-6,0,0,6
sky premium king with balcony,sky king with balcony,match,-6,0,0,6
jumbo family room (2 adults+6 children),large family room (2 adults+4 children),match,-6,0,0,6
standard room with 2 twin beds(breakfast english),standard room with 1 double bed and 1 single bed non refundable,match,-6,0,0,6
"premium room (extra large), 1 queen bed","premium with views, 1 queen bed",match,-6,0,0,6
standard room with 1 double bed and 1 single bed(breakfast english),single room,match,-6,0,0,6
standard room 1pax,habitación doble,match,-6,0,0,6
habitación con 2 camas individuales,single standard,match,-6,0,0,6
habitación con 2 camas individuales,twin room on high floor with city view.,match,-6,0,0,6
double room,classic double room bb,match,-6,0,0,6
double room,double/twin-double or twin standard non refundable,match,-6,0,0,6
double room,1 double bed non smoking non refundable,match,-6,0,0,6
1 x double single use,double room,match,-6,0,0,6
double room,mixed dormitory room,match,-6,0,0,6
double (double bed) economy,double room,match,-6,0,0,6
double room,studio two beds,match,-6,0,0,6
double room,melia twin room,match,-6,0,0,6
double room,double deluxe with balcony,match,-6,0,0,6
double room - grand de luxe,double room,match,-6,0,0,6
